cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
WA-501,0.220508657,0.143915139,0.245225161,0.734889023,0.013798631,0.026635274,0.028111752,0.172843549,63.71455002,47.7215724,5.809430093,-4.018470764,0.428278415,96157.25,51.43672631,15.12214136,714.1430969,0.05622342,122.7071305,4.126871109,16.7942727,10.47730827,2.288216621,5596.375,0.365450978
WA-502,0.212596931,0.144914016,0.292804331,0.861409728,0.017383087,0.021799958,0.031556228,0.049746364,65.59666729,21.0762496,2.21875,-4.189998627,0.4478,19096.75,48.396625,14.94521415,661.5,0.053603365,107.5,4.879668713,17.72935758,15.70374107,3.411413044,1122.875,0.321087241
WA-503,0.231027864,0.163888037,0.24587249,0.695323624,0.066940536,0.060530467,0.055205959,0.097120481,59.6225009,69.37000084,7.84374994,-2.450000763,0.4201,32955.75,58.455,12.47539198,872.5,0.051825915,135.5,3.686349392,15.86964062,10.5543251,2.577268466,1628.25,-0.165936351
WA-504,0.192886859,0.113077585,0.301431581,0.731750269,0.027191619,0.095101423,0.036912731,0.092632264,59.46999931,91.34625053,11.26874995,-2.520000458,0.40305,27778.5,69.10875,9.793237566,973,0.044450434,151.5,3.477062225,11.32162435,5.738311768,2.7367374,1336.25,-1.27800107
WA-508,0.194700725,0.12381741,0.273228183,0.808945262,0.019165632,0.042808529,0.032400478,0.082483397,64.98500109,68.80999899,8.154999971,-3.239997864,0.4204,20141.625,59.648,11.47209287,834,0.040672876,124.5,4.130717754,14.97884859,4.54319334,2.105408475,808.5,-1.381902456
WI-500,0.185239293,0.109359875,0.266799048,0.901321245,0.015014666,0.019039304,0.012224716,0.041693714,68.40164948,34.8563745,1.223795965,2.767116547,0.41745909,144294.125,54.88244423,10.52615333,598.8470154,0.060418917,122.5129242,1.905195475,13.03196893,18.37847328,2.308909237,3572.375,-0.577774644
WI-501,0.392459437,0.08277062,0.3028671,0.537977923,0.260646033,0.037313167,0.020080519,0.13787976,69.49458408,34.22124934,1.343750007,3.150001526,0.46675,37680.125,43.047875,20.84287715,667.5,0.043164525,128.5,3.05216074,21.1805439,30.41179276,5.339942276,1401.5,-0.505191088
WI-502,0.269604996,0.104887746,0.246004321,0.740157118,0.108256207,0.011389942,0.016897701,0.119673624,69.6641674,34.14249945,1.446249999,2.529998779,0.42815,7904.5,53.954625,12.90906346,632.5,0.063661203,137,5.425615311,16.16603579,23.16689491,3.725784332,213.625,-1.368322968
WI-503,0.201665968,0.08307644,0.493483245,0.813167019,0.0503844,0.05260291,0.020432177,0.060139583,69.92499828,37.40249968,1.331249982,2.670000076,0.44455,13656.375,62.00775,12.20120943,809.5,0.04025887,94.5,1.483240366,10.13128853,11.74239731,2.858329087,696.625,-1.775021791
WV-500,0.247737966,0.12457234,0.218678035,0.951682715,0.019706158,0.004906208,0.012641767,0.009580417,71.3771534,42.07276058,2.876689553,3.630353928,0.457806374,5489.25,41.0390955,15.24457323,404.4376068,0.081942242,151.5056382,2.522140265,17.82387706,25.12644577,5.544501126,118.25,2.839595079
WV-501,0.292105883,0.117069967,0.230600283,0.928033173,0.034834587,0.008492704,0.015672075,0.010647149,74.46239471,46.9412117,2.950889826,4.576068878,0.479674932,3839,36.9884127,20.82110739,469.8919983,0.069194138,157.6034928,2.69329381,22.05786405,17.56400871,6.377125323,237.875,2.909025669
WV-503,0.248770788,0.113224722,0.245943233,0.909908382,0.052697035,0.009077014,0.016421566,0.009765803,73.78490829,46.30684042,2.948870972,4.150032043,0.458870028,8489.125,45.31216939,15.37268853,491.2216492,0.082310729,166.1287537,2.350327969,19.48404884,11.36475086,5.037980437,376.375,2.08633399
WV-508,0.228781626,0.120284844,0.192255892,0.92954942,0.032155183,0.007110666,0.013531569,0.015292931,71.51051998,45.32933712,3.056278348,3.363502502,0.446208524,40360,40.47993804,18.0951159,454.8447876,0.076400824,158.9447556,2.250167847,20.95429039,16.08687401,3.094753027,1226.125,-0.669568777
WY-500,0.19153171,0.130361229,0.257698134,0.849943917,0.010954179,0.008473169,0.015348836,0.09330792,64.19368267,16.3545233,0.797335558,-3.236570358,0.417196744,16095.625,57.86157903,10.79144371,651.2967224,0.077884309,113.9100914,1.657413363,13.92451477,11.08637714,2.190980643,958.5,0.570088625
